# 2theta	intensity	baseline	bg_subtracted	normalized
9.98747 14941.00000 14642.66025 298.33975 0.00788
9.99834 14895.00000 14636.87278 258.12722 0.00681
10.00921 15000.00000 14631.08532 368.91468 0.00974
10.02007 14960.00000 14625.29785 334.70215 0.00884
10.03094 14831.00000 14619.51039 211.48961 0.00558
10.04181 14989.00000 14613.72293 375.27707 0.00991
10.05267 14815.00000 14607.93548 207.06452 0.00547
10.06354 15155.00000 14602.14803 552.85197 0.01459
10.07440 15012.00000 14596.36059 415.63941 0.01097
10.08527 14850.00000 14590.57316 259.42684 0.00685
10.09614 14981.00000 14584.78574 396.21426 0.01046
10.10700 14722.00000 14578.99835 143.00165 0.00378
10.11787 14889.00000 14573.21097 315.78903 0.00834
10.12874 14942.00000 14567.42362 374.57638 0.00989
10.13960 14834.00000 14561.63629 272.36371 0.00719
10.15047 14598.00000 14555.84900 42.15100 0.00111
10.16134 14845.00000 14550.06175 294.93825 0.00779
10.17220 14877.00000 14544.27455 332.72545 0.00878
10.18307 14811.00000 14538.48739 272.51261 0.00719
10.19394 15061.00000 14532.70028 528.29972 0.01395
10.20480 14860.00000 14526.91323 333.08677 0.00879
10.21567 15004.00000 14521.12625 482.87375 0.01275
10.22653 14933.00000 14515.33934 417.66066 0.01103
10.23740 15163.00000 14509.55251 653.44749 0.01725
10.24827 14945.00000 14503.76577 441.23423 0.01165
10.25913 14989.00000 14497.97912 491.02088 0.01296
10.27000 15097.00000 14492.19258 604.80742 0.01597
10.28087 14493.00000 14486.40615 6.59385 0.00017
10.29173 14650.00000 14480.61984 169.38016 0.00447
10.30260 14762.00000 14474.83366 287.16634 0.00758
10.31347 14811.00000 14469.04762 341.95238 0.00903
10.32433 14752.00000 14463.26174 288.73826 0.00762
10.33520 14734.00000 14457.47602 276.52398 0.00730
10.34607 14770.00000 14451.69047 318.30953 0.00840
10.35693 14753.00000 14445.90510 307.09490 0.00811
10.36780 14704.00000 14440.11994 263.88006 0.00697
10.37866 14716.00000 14434.33497 281.66503 0.00744
10.38953 14623.00000 14428.55023 194.44977 0.00513
10.40040 14775.00000 14422.76572 352.23428 0.00930
10.41126 14841.00000 14416.98146 424.01854 0.01119
10.42213 14855.00000 14411.19745 443.80255 0.01172
10.43300 14801.00000 14405.41371 395.58629 0.01044
10.44386 14564.00000 14399.63025 164.36975 0.00434
10.45473 14685.00000 14393.84709 291.15291 0.00769
10.46560 14540.00000 14388.06424 151.93576 0.00401
10.47646 14710.00000 14382.28172 327.71828 0.00865
10.48733 14996.00000 14376.49954 619.50046 0.01635
10.49820 14778.00000 14370.71772 407.28228 0.01075
10.50906 14480.00000 14364.93626 115.06374 0.00304
10.51993 14421.00000 14359.15520 61.84480 0.00163
10.53080 14638.00000 14353.37453 284.62547 0.00751
10.54166 14775.00000 14347.59429 427.40571 0.01128
10.55253 14710.00000 14341.81448 368.18552 0.00972
10.56339 14570.00000 14336.03513 233.96487 0.00618
10.57426 14726.00000 14330.25625 395.74375 0.01045
10.58513 14454.00000 14324.47785 129.52215 0.00342
10.59599 14511.00000 14318.69996 192.30004 0.00508
10.60686 14439.00000 14312.92259 126.07741 0.00333
10.61773 14591.00000 14307.14577 283.85423 0.00749
10.62859 14523.00000 14301.36950 221.63050 0.00585
10.63946 14610.00000 14295.59381 314.40619 0.00830
10.65033 14707.00000 14289.81873 417.18127 0.01101
10.66119 14734.00000 14284.04425 449.95575 0.01188
10.67206 14484.00000 14278.27042 205.72958 0.00543
10.68293 14645.00000 14272.49724 372.50276 0.00983
10.69379 14492.00000 14266.72474 225.27526 0.00595
10.70466 14655.00000 14260.95293 394.04707 0.01040
10.71552 14483.00000 14255.18184 227.81816 0.00601
10.72639 14664.00000 14249.41149 414.58851 0.01094
10.73726 14486.00000 14243.64190 242.35810 0.00640
10.74812 14421.00000 14237.87310 183.12690 0.00483
10.75899 14670.00000 14232.10510 437.89490 0.01156
10.76986 14741.00000 14226.33792 514.66208 0.01359
10.78072 14583.00000 14220.57160 362.42840 0.00957
10.79159 14705.00000 14214.80614 490.19386 0.01294
10.80246 14629.00000 14209.04159 419.95841 0.01109
10.81332 14420.00000 14203.27795 216.72205 0.00572
10.82419 14519.00000 14197.51526 321.48474 0.00849
10.83506 14543.00000 14191.75354 351.24646 0.00927
10.84592 14645.00000 14185.99281 459.00719 0.01212
10.85679 14683.00000 14180.23311 502.76689 0.01327
10.86765 14631.00000 14174.47445 456.52555 0.01205
10.87852 14585.00000 14168.71686 416.28314 0.01099
10.88939 14494.00000 14162.96037 331.03963 0.00874
10.90025 14663.00000 14157.20501 505.79499 0.01335
