# 2theta	intensity	baseline	bg_subtracted	normalized
10.00143 14381.00000 13937.30569 443.69431 0.01065
10.01230 14220.00000 13930.74800 289.25200 0.00694
10.02317 14172.00000 13924.19031 247.80969 0.00595
10.03403 14141.00000 13917.63262 223.36738 0.00536
10.04490 14120.00000 13911.07493 208.92507 0.00501
10.05577 14327.00000 13904.51725 422.48275 0.01014
10.06663 14265.00000 13897.95957 367.04043 0.00881
10.07750 13890.00000 13891.40190 -1.40190 -0.00003
10.08836 14079.00000 13884.84423 194.15577 0.00466
10.09923 14165.00000 13878.28657 286.71343 0.00688
10.11010 13978.00000 13871.72888 106.27112 0.00255
10.12096 14254.00000 13865.17118 388.82882 0.00933
10.13183 14293.00000 13858.61343 434.38657 0.01042
10.14270 14324.00000 13852.05564 471.94436 0.01132
10.15356 14136.00000 13845.49779 290.50221 0.00697
10.16443 14185.00000 13838.93987 346.06013 0.00830
10.17530 14103.00000 13832.38187 270.61813 0.00649
10.18616 14229.00000 13825.82378 403.17622 0.00967
10.19703 14108.00000 13819.26560 288.73440 0.00693
10.20790 14118.00000 13812.70732 305.29268 0.00733
10.21876 13824.00000 13806.14892 17.85108 0.00043
10.22963 13966.00000 13799.59040 166.40960 0.00399
10.24049 14020.00000 13793.03175 226.96825 0.00545
10.25136 14406.00000 13786.47296 619.52704 0.01486
10.26223 14047.00000 13779.91403 267.08597 0.00641
10.27309 13934.00000 13773.35494 160.64506 0.00385
10.28396 13984.00000 13766.79570 217.20430 0.00521
10.29483 13944.00000 13760.23629 183.76371 0.00441
10.30569 14055.00000 13753.67671 301.32329 0.00723
10.31656 14323.00000 13747.11696 575.88304 0.01382
10.32743 14016.00000 13740.55702 275.44298 0.00661
10.33829 13767.00000 13733.99689 33.00311 0.00079
10.34916 13934.00000 13727.43656 206.56344 0.00496
10.36003 14040.00000 13720.87604 319.12396 0.00766
10.37089 14131.00000 13714.31532 416.68468 0.01000
10.38176 13942.00000 13707.75439 234.24561 0.00562
10.39263 14082.00000 13701.19324 380.80676 0.00914
10.40349 13982.00000 13694.63188 287.36812 0.00690
10.41436 14152.00000 13688.07030 463.92970 0.01113
10.42522 13900.00000 13681.50850 218.49150 0.00524
10.43609 13825.00000 13674.94647 150.05353 0.00360
10.44696 13866.00000 13668.38422 197.61578 0.00474
10.45782 13718.00000 13661.82173 56.17827 0.00135
10.46869 14073.00000 13655.25901 417.74099 0.01002
10.47956 13838.00000 13648.69606 189.30394 0.00454
10.49042 13956.00000 13642.13288 313.86712 0.00753
10.50129 13800.00000 13635.56945 164.43055 0.00395
10.51216 13811.00000 13629.00579 181.99421 0.00437
10.52302 13786.00000 13622.44189 163.55811 0.00392
10.53389 14028.00000 13615.87775 412.12225 0.00989
10.54476 13746.00000 13609.31337 136.68663 0.00328
10.55562 13945.00000 13602.74875 342.25125 0.00821
10.56649 13801.00000 13596.18388 204.81612 0.00491
10.57735 13820.00000 13589.61878 230.38122 0.00553
10.58822 13854.00000 13583.05344 270.94656 0.00650
10.59909 13990.00000 13576.48785 413.51215 0.00992
10.60995 13783.00000 13569.92203 213.07797 0.00511
10.62082 13830.00000 13563.35597 266.64403 0.00640
10.63169 13941.00000 13556.78968 384.21032 0.00922
10.64255 13841.00000 13550.22315 290.77685 0.00698
10.65342 13890.00000 13543.65639 346.34361 0.00831
10.66429 13722.00000 13537.08940 184.91060 0.00444
10.67515 13960.00000 13530.52219 429.47781 0.01030
