# 2theta	intensity	baseline	bg_subtracted	normalized
10.00143 16267.00000 15787.74333 479.25667 0.01238
10.01230 16167.00000 15781.47024 385.52976 0.00996
10.02317 16192.00000 15775.19715 416.80285 0.01077
10.03403 16010.00000 15768.92407 241.07593 0.00623
10.04490 16015.00000 15762.65098 252.34902 0.00652
10.05577 15816.00000 15756.37791 59.62209 0.00154
10.06663 16054.00000 15750.10483 303.89517 0.00785
10.07750 15997.00000 15743.83177 253.16823 0.00654
10.08836 16101.00000 15737.55871 363.44129 0.00939
10.09923 15845.00000 15731.28567 113.71433 0.00294
10.11010 15971.00000 15725.01264 245.98736 0.00635
10.12096 15771.00000 15718.73963 52.26037 0.00135
10.13183 16209.00000 15712.46664 496.53336 0.01283
10.14270 15815.00000 15706.19368 108.80632 0.00281
10.15356 16263.00000 15699.92074 563.07926 0.01455
10.16443 15972.00000 15693.64784 278.35216 0.00719
10.17530 16198.00000 15687.37497 510.62503 0.01319
10.18616 15714.00000 15681.10214 32.89786 0.00085
10.19703 16007.00000 15674.82936 332.17064 0.00858
10.20790 16069.00000 15668.55662 400.44338 0.01035
10.21876 15903.00000 15662.28395 240.71605 0.00622
10.22963 15952.00000 15656.01134 295.98866 0.00765
10.24049 15667.00000 15649.73879 17.26121 0.00045
10.25136 15829.00000 15643.46632 185.53368 0.00479
10.26223 15944.00000 15637.19393 306.80607 0.00793
10.27309 15797.00000 15630.92163 166.07837 0.00429
10.28396 15935.00000 15624.64942 310.35058 0.00802
10.29483 15922.00000 15618.37732 303.62268 0.00784
10.30569 15607.00000 15612.10532 -5.10532 -0.00013
10.31656 16035.00000 15605.83345 429.16655 0.01109
10.32743 15932.00000 15599.56164 332.43836 0.00859
10.33829 15932.00000 15593.28987 338.71013 0.00875
10.34916 16052.00000 15587.01808 464.98192 0.01201
10.36003 15993.00000 15580.74624 412.25376 0.01065
10.37089 15976.00000 15574.47431 401.52569 0.01037
10.38176 16004.00000 15568.20224 435.79776 0.01126
10.39263 15975.00000 15561.92999 413.07001 0.01067
10.40349 15779.00000 15555.65752 223.34248 0.00577
10.41436 16203.00000 15549.38479 653.61521 0.01689
10.42522 15756.00000 15543.11176 212.88824 0.00550
10.43609 15989.00000 15536.83840 452.16160 0.01168
10.44696 15954.00000 15530.56466 423.43534 0.01094
10.45782 15659.00000 15524.29050 134.70950 0.00348
10.46869 15643.00000 15518.01589 124.98411 0.00323
10.47956 16145.00000 15511.74079 633.25921 0.01636
10.49042 15705.00000 15505.46516 199.53484 0.00515
10.50129 15761.00000 15499.18897 261.81103 0.00676
10.51216 15749.00000 15492.91216 256.08784 0.00662
10.52302 15553.00000 15486.63472 66.36528 0.00171
10.53389 15808.00000 15480.35661 327.64339 0.00846
10.54476 15804.00000 15474.07777 329.92223 0.00852
10.55562 15562.00000 15467.79819 94.20181 0.00243
