# 2theta	intensity	baseline	bg_subtracted	normalized
10.00143 15940.00000 15731.47704 208.52296 0.00549
10.01230 15973.00000 15724.94142 248.05858 0.00653
10.02317 16060.00000 15718.40580 341.59420 0.00899
10.03403 15862.00000 15711.87018 150.12982 0.00395
10.04490 16023.00000 15705.33456 317.66544 0.00836
10.05577 15980.00000 15698.79894 281.20106 0.00740
10.06663 16064.00000 15692.26333 371.73667 0.00978
10.07750 15847.00000 15685.72772 161.27228 0.00424
10.08836 15967.00000 15679.19212 287.80788 0.00757
10.09923 15909.00000 15672.65653 236.34347 0.00622
10.11010 15941.00000 15666.12095 274.87905 0.00723
10.12096 15998.00000 15659.58538 338.41462 0.00891
10.13183 16029.00000 15653.04983 375.95017 0.00989
10.14270 16113.00000 15646.51430 466.48570 0.01228
10.15356 15777.00000 15639.97880 137.02120 0.00361
10.16443 15736.00000 15633.44332 102.55668 0.00270
10.17530 16148.00000 15626.90788 521.09212 0.01371
10.18616 16022.00000 15620.37247 401.62753 0.01057
10.19703 15799.00000 15613.83710 185.16290 0.00487
10.20790 16026.00000 15607.30178 418.69822 0.01102
10.21876 15610.00000 15600.76651 9.23349 0.00024
10.22963 16156.00000 15594.23130 561.76870 0.01478
10.24049 15894.00000 15587.69616 306.30384 0.00806
10.25136 15715.00000 15581.16108 133.83892 0.00352
10.26223 15789.00000 15574.62608 214.37392 0.00564
10.27309 15563.00000 15568.09116 -5.09116 -0.00013
10.28396 15674.00000 15561.55633 112.44367 0.00296
10.29483 15680.00000 15555.02155 124.97845 0.00329
10.30569 15892.00000 15548.48678 343.51322 0.00904
10.31656 15625.00000 15541.95196 83.04804 0.00219
10.32743 15892.00000 15535.41706 356.58294 0.00938
10.33829 15609.00000 15528.88203 80.11797 0.00211
10.34916 15859.00000 15522.34683 336.65317 0.00886
10.36003 15861.00000 15515.81142 345.18858 0.00908
10.37089 15806.00000 15509.27575 296.72425 0.00781
10.38176 15653.00000 15502.73979 150.26021 0.00395
10.39263 15798.00000 15496.20349 301.79651 0.00794
10.40349 15888.00000 15489.66680 398.33320 0.01048
10.41436 15721.00000 15483.12970 237.87030 0.00626
10.42522 15684.00000 15476.59213 207.40787 0.00546
10.43609 15813.00000 15470.05406 342.94594 0.00903
10.44696 15682.00000 15463.51544 218.48456 0.00575
10.45782 15648.00000 15456.97624 191.02376 0.00503
10.46869 15630.00000 15450.43642 179.56358 0.00473
10.47956 15537.00000 15443.89593 93.10407 0.00245
10.49042 15714.00000 15437.35474 276.64526 0.00728
10.50129 15640.00000 15430.81281 209.18719 0.00551
10.51216 15793.00000 15424.27009 368.72991 0.00970
10.52302 15648.00000 15417.72655 230.27345 0.00606
10.53389 15781.00000 15411.18216 369.81784 0.00973
10.54476 15684.00000 15404.63686 279.36314 0.00735
10.55562 15644.00000 15398.09063 245.90937 0.00647
10.56649 15743.00000 15391.54343 351.45657 0.00925
10.57735 15820.00000 15384.99521 435.00479 0.01145
10.58822 15759.00000 15378.44595 380.55405 0.01002
10.59909 15524.00000 15371.89560 152.10440 0.00400
10.60995 15854.00000 15365.34413 488.65587 0.01286
10.62082 15729.00000 15358.79151 370.20849 0.00974
10.63169 15668.00000 15352.23769 315.76231 0.00831
10.64255 15613.00000 15345.68264 267.31736 0.00704
10.65342 15877.00000 15339.12633 537.87367 0.01416
10.66429 15447.00000 15332.56872 114.43128 0.00301
10.67515 15542.00000 15326.00978 215.99022 0.00568
10.68602 15567.00000 15319.44947 247.55053 0.00651
10.69689 15737.00000 15312.88776 424.11224 0.01116
10.70775 15545.00000 15306.32462 238.67538 0.00628
10.71862 15803.00000 15299.76001 503.23999 0.01324
10.72948 15312.00000 15293.19390 18.80610 0.00049
10.74035 15714.00000 15286.62626 427.37374 0.01125
10.75122 15614.00000 15280.05705 333.94295 0.00879
10.76208 15623.00000 15273.48625 349.51375 0.00920
10.77295 15760.00000 15266.91382 493.08618 0.01298
10.78382 15420.00000 15260.33973 159.66027 0.00420
10.79468 15537.00000 15253.76395 283.23605 0.00745
10.80555 15794.00000 15247.18645 546.81355 0.01439
10.81642 15676.00000 15240.60720 435.39280 0.01146
10.82728 15441.00000 15234.02616 206.97384 0.00545
10.83815 15556.00000 15227.44332 328.55668 0.00865
10.84902 15674.00000 15220.85863 453.14137 0.01193
10.85988 15599.00000 15214.27208 384.72792 0.01012
10.87075 15578.00000 15207.68363 370.31637 0.00975
10.88161 15689.00000 15201.09325 487.90675 0.01284
10.89248 15549.00000 15194.50092 354.49908 0.00933
10.90335 15853.00000 15187.90662 665.09338 0.01750
10.91421 15586.00000 15181.31030 404.68970 0.01065
10.92508 15738.00000 15174.71195 563.28805 0.01482
10.93595 16064.00000 15168.11155 895.88845 0.02358
10.94681 15575.00000 15161.50906 413.49094 0.01088
10.95768 15832.00000 15154.90446 677.09554 0.01782
10.96855 15649.00000 15148.29773 500.70227 0.01318
10.97941 15853.00000 15141.68885 711.31115 0.01872
10.99028 15864.00000 15135.07778 728.92222 0.01918
11.00115 16033.00000 15128.46452 904.53548 0.02380
11.01201 15994.00000 15121.84904 872.15096 0.02295
11.02288 16058.00000 15115.23132 942.76868 0.02481
11.03375 15874.00000 15108.61133 765.38867 0.02014
11.04461 16026.00000 15101.98907 924.01093 0.02432
11.05548 16215.00000 15095.36451 1119.63549 0.02947
11.06634 16242.00000 15088.73763 1153.26237 0.03035
11.07721 16278.00000 15082.10843 1195.89157 0.03147
11.08808 16606.00000 15075.47688 1530.52312 0.04028
11.09894 16273.00000 15068.84298 1204.15702 0.03169
11.10981 16582.00000 15062.20670 1519.79330 0.04000
11.12068 16529.00000 15055.56805 1473.43195 0.03878
11.13154 16578.00000 15048.92700 1529.07300 0.04024
11.14241 16582.00000 15042.28356 1539.71644 0.04052
11.15328 16752.00000 15035.63772 1716.36228 0.04517
11.16414 17183.00000 15028.98947 2154.01053 0.05669
