# 2theta	intensity	baseline	bg_subtracted	normalized
10.00143 13745.00000 13435.97687 309.02313 0.00963
10.01230 13770.00000 13429.32618 340.67382 0.01061
10.02317 13851.00000 13422.67550 428.32450 0.01334
10.03403 13809.00000 13416.02481 392.97519 0.01224
10.04490 14028.00000 13409.37413 618.62587 0.01927
10.05577 14014.00000 13402.72345 611.27655 0.01904
10.06663 13846.00000 13396.07278 449.92722 0.01402
10.07750 13771.00000 13389.42211 381.57789 0.01189
10.08836 13937.00000 13382.77146 554.22854 0.01727
10.09923 13894.00000 13376.12082 517.87918 0.01614
10.11010 13689.00000 13369.47020 319.52980 0.00996
10.12096 13737.00000 13362.81960 374.18040 0.01166
10.13183 14128.00000 13356.16904 771.83096 0.02405
10.14270 13728.00000 13349.51850 378.48150 0.01179
10.15356 13667.00000 13342.86801 324.13199 0.01010
10.16443 13711.00000 13336.21756 374.78244 0.01168
10.17530 13890.00000 13329.56717 560.43283 0.01746
10.18616 13747.00000 13322.91683 424.08317 0.01321
10.19703 13980.00000 13316.26657 663.73343 0.02068
10.20790 13692.00000 13309.61638 382.38362 0.01191
10.21876 13846.00000 13302.96628 543.03372 0.01692
10.22963 14006.00000 13296.31627 709.68373 0.02211
10.24049 13805.00000 13289.66636 515.33364 0.01606
10.25136 13523.00000 13283.01657 239.98343 0.00748
10.26223 13795.00000 13276.36690 518.63310 0.01616
10.27309 13691.00000 13269.71737 421.28263 0.01313
10.28396 13618.00000 13263.06799 354.93201 0.01106
10.29483 13945.00000 13256.41877 688.58123 0.02145
10.30569 13740.00000 13249.76972 490.23028 0.01527
10.31656 13691.00000 13243.12085 447.87915 0.01395
10.32743 13805.00000 13236.47219 568.52781 0.01771
10.33829 13784.00000 13229.82374 554.17626 0.01727
10.34916 13620.00000 13223.17552 396.82448 0.01236
10.36003 13710.00000 13216.52754 493.47246 0.01537
10.37089 13777.00000 13209.87982 567.12018 0.01767
10.38176 13753.00000 13203.23238 549.76762 0.01713
10.39263 13497.00000 13196.58523 300.41477 0.00936
10.40349 13696.00000 13189.93838 506.06162 0.01577
10.41436 13518.00000 13183.29187 334.70813 0.01043
10.42522 13715.00000 13176.64570 538.35430 0.01677
10.43609 13604.00000 13169.99989 434.00011 0.01352
10.44696 13521.00000 13163.35446 357.64554 0.01114
10.45782 13529.00000 13156.70944 372.29056 0.01160
10.46869 13485.00000 13150.06484 334.93516 0.01044
10.47956 13529.00000 13143.42068 385.57932 0.01201
10.49042 13624.00000 13136.77698 487.22302 0.01518
10.50129 13492.00000 13130.13376 361.86624 0.01127
10.51216 13453.00000 13123.49105 329.50895 0.01027
10.52302 13538.00000 13116.84886 421.15114 0.01312
10.53389 13575.00000 13110.20722 464.79278 0.01448
10.54476 13577.00000 13103.56615 473.43385 0.01475
10.55562 13523.00000 13096.92567 426.07433 0.01327
10.56649 13730.00000 13090.28581 639.71419 0.01993
10.57735 13460.00000 13083.64659 376.35341 0.01173
10.58822 13493.00000 13077.00803 415.99197 0.01296
10.59909 13638.00000 13070.37016 567.62984 0.01769
10.60995 13425.00000 13063.73300 361.26700 0.01126
10.62082 13592.00000 13057.09659 534.90341 0.01667
10.63169 13324.00000 13050.46094 273.53906 0.00852
10.64255 13487.00000 13043.82608 443.17392 0.01381
10.65342 13607.00000 13037.19205 569.80795 0.01775
10.66429 13588.00000 13030.55886 557.44114 0.01737
10.67515 13501.00000 13023.92655 477.07345 0.01486
10.68602 13756.00000 13017.29513 738.70487 0.02302
10.69689 13552.00000 13010.66466 541.33534 0.01687
10.70775 13312.00000 13004.03514 307.96486 0.00959
10.71862 13587.00000 12997.40662 589.59338 0.01837
10.72948 13360.00000 12990.77912 369.22088 0.01150
10.74035 13299.00000 12984.15267 314.84733 0.00981
10.75122 13378.00000 12977.52731 400.47269 0.01248
10.76208 13607.00000 12970.90307 636.09693 0.01982
10.77295 13348.00000 12964.27997 383.72003 0.01196
10.78382 13350.00000 12957.65806 392.34194 0.01222
10.79468 13322.00000 12951.03737 370.96263 0.01156
10.80555 13409.00000 12944.41792 464.58208 0.01447
10.81642 13353.00000 12937.79976 415.20024 0.01294
10.82728 13322.00000 12931.18292 390.81708 0.01218
10.83815 13556.00000 12924.56743 631.43257 0.01967
10.84902 13494.00000 12917.95333 576.04667 0.01795
10.85988 13426.00000 12911.34065 514.65935 0.01603
10.87075 13586.00000 12904.72943 681.27057 0.02123
10.88161 13501.00000 12898.11971 602.88029 0.01878
10.89248 13383.00000 12891.51153 491.48847 0.01531
10.90335 13302.00000 12884.90492 417.09508 0.01300
10.91421 13468.00000 12878.29992 589.70008 0.01837
10.92508 13276.00000 12871.69658 404.30342 0.01260
10.93595 13208.00000 12865.09493 342.90507 0.01068
10.94681 13384.00000 12858.49500 525.50500 0.01637
10.95768 13414.00000 12851.89685 562.10315 0.01751
10.96855 13735.00000 12845.30052 889.69948 0.02772
10.97941 13327.00000 12838.70604 488.29396 0.01521
10.99028 13356.00000 12832.11346 523.88654 0.01632
11.00115 13329.00000 12825.52281 503.47719 0.01569
11.01201 13513.00000 12818.93416 694.06584 0.02162
11.02288 13442.00000 12812.34753 629.65247 0.01962
11.03375 13388.00000 12805.76297 582.23703 0.01814
11.04461 13654.00000 12799.18053 854.81947 0.02663
11.05548 13669.00000 12792.60026 876.39974 0.02731
11.06634 13667.00000 12786.02219 880.97781 0.02745
11.07721 13711.00000 12779.44639 931.55361 0.02902
11.08808 13712.00000 12772.87289 939.12711 0.02926
11.09894 13550.00000 12766.30175 783.69825 0.02442
11.10981 13793.00000 12759.73302 1033.26698 0.03219
11.12068 13736.00000 12753.16674 982.83326 0.03062
11.13154 13809.00000 12746.60298 1062.39702 0.03310
11.14241 13830.00000 12740.04178 1089.95822 0.03396
11.15328 13661.00000 12733.48320 927.51680 0.02890
11.16414 13814.00000 12726.92729 1087.07271 0.03387
11.17501 13853.00000 12720.37411 1132.62589 0.03529
11.18588 13683.00000 12713.82372 969.17628 0.03020
11.19674 13694.00000 12707.27618 986.72382 0.03074
11.20761 13684.00000 12700.73154 983.26846 0.03063
11.21847 13636.00000 12694.18986 941.81014 0.02934
11.22934 13693.00000 12687.65122 1005.34878 0.03132
11.24021 13431.00000 12681.11566 749.88434 0.02336
11.25107 13553.00000 12674.58326 878.41674 0.02737
11.26194 13494.00000 12668.05407 825.94593 0.02573
11.27281 13472.00000 12661.52817 810.47183 0.02525
11.28367 13424.00000 12655.00561 768.99439 0.02396
11.29454 13165.00000 12648.48647 516.51353 0.01609
11.30541 13256.00000 12641.97081 614.02919 0.01913
11.31627 13041.00000 12635.45871 405.54129 0.01264
11.32714 12973.00000 12628.95022 344.04978 0.01072
11.33801 13078.00000 12622.44542 455.55458 0.01419
11.34887 12976.00000 12615.94437 360.05563 0.01122
11.35974 13077.00000 12609.44716 467.55284 0.01457
11.37060 12870.00000 12602.95384 267.04616 0.00832
11.38147 13008.00000 12596.46449 411.53551 0.01282
11.39234 13056.00000 12589.97917 466.02083 0.01452
11.40320 12792.00000 12583.49797 208.50203 0.00650
11.41407 13050.00000 12577.02095 472.97905 0.01474
