# 2theta	intensity	baseline	bg_subtracted	normalized
10.00143 15686.00000 15404.71389 281.28611 0.00704
10.01230 15598.00000 15398.54632 199.45368 0.00500
10.02317 15622.00000 15392.37874 229.62126 0.00575
10.03403 15639.00000 15386.21116 252.78884 0.00633
10.04490 15634.00000 15380.04359 253.95641 0.00636
10.05577 15703.00000 15373.87602 329.12398 0.00824
10.06663 15634.00000 15367.70845 266.29155 0.00667
10.07750 15467.00000 15361.54089 105.45911 0.00264
10.08836 15543.00000 15355.37333 187.62667 0.00470
10.09923 15518.00000 15349.20578 168.79422 0.00423
10.11010 15759.00000 15343.03825 415.96175 0.01042
10.12096 15631.00000 15336.87072 294.12928 0.00737
10.13183 15812.00000 15330.70322 481.29678 0.01205
10.14270 15733.00000 15324.53573 408.46427 0.01023
10.15356 15650.00000 15318.36826 331.63174 0.00831
10.16443 15603.00000 15312.20083 290.79917 0.00728
10.17530 15705.00000 15306.03342 398.96658 0.00999
10.18616 15784.00000 15299.86604 484.13396 0.01213
10.19703 15646.00000 15293.69871 352.30129 0.00882
10.20790 15561.00000 15287.53142 273.46858 0.00685
10.21876 15480.00000 15281.36419 198.63581 0.00497
10.22963 15275.00000 15275.19701 -0.19701 -0.00000
10.24049 15429.00000 15269.02989 159.97011 0.00401
10.25136 15386.00000 15262.86284 123.13716 0.00308
10.26223 15424.00000 15256.69586 167.30414 0.00419
10.27309 15864.00000 15250.52896 613.47104 0.01536
10.28396 15582.00000 15244.36214 337.63786 0.00846
10.29483 15541.00000 15238.19541 302.80459 0.00758
10.30569 15757.00000 15232.02877 524.97123 0.01315
10.31656 15441.00000 15225.86222 215.13778 0.00539
10.32743 15688.00000 15219.69578 468.30422 0.01173
10.33829 15492.00000 15213.52945 278.47055 0.00697
10.34916 15442.00000 15207.36324 234.63676 0.00588
10.36003 15395.00000 15201.19716 193.80284 0.00485
10.37089 15524.00000 15195.03121 328.96879 0.00824
10.38176 15670.00000 15188.86540 481.13460 0.01205
10.39263 15816.00000 15182.69974 633.30026 0.01586
10.40349 15552.00000 15176.53424 375.46576 0.00940
10.41436 15598.00000 15170.36890 427.63110 0.01071
10.42522 15509.00000 15164.20374 344.79626 0.00864
10.43609 15600.00000 15158.03877 441.96123 0.01107
10.44696 15420.00000 15151.87400 268.12600 0.00672
10.45782 15380.00000 15145.70943 234.29057 0.00587
10.46869 15660.00000 15139.54509 520.45491 0.01303
10.47956 15620.00000 15133.38097 486.61903 0.01219
10.49042 15540.00000 15127.21710 412.78290 0.01034
10.50129 15375.00000 15121.05349 253.94651 0.00636
10.51216 15351.00000 15114.89014 236.10986 0.00591
10.52302 15369.00000 15108.72707 260.27293 0.00652
10.53389 15351.00000 15102.56430 248.43570 0.00622
10.54476 15301.00000 15096.40183 204.59817 0.00512
10.55562 15437.00000 15090.23969 346.76031 0.00868
10.56649 15312.00000 15084.07789 227.92211 0.00571
10.57735 15394.00000 15077.91643 316.08357 0.00792
10.58822 15380.00000 15071.75534 308.24466 0.00772
10.59909 15305.00000 15065.59462 239.40538 0.00600
10.60995 15432.00000 15059.43431 372.56569 0.00933
10.62082 15386.00000 15053.27440 332.72560 0.00833
10.63169 15275.00000 15047.11492 227.88508 0.00571
10.64255 15358.00000 15040.95588 317.04412 0.00794
10.65342 15262.00000 15034.79730 227.20270 0.00569
