# 2theta	intensity	baseline	bg_subtracted	normalized
9.97219 15686.00000 15076.72985 609.27015 0.01500
9.98306 15598.00000 15071.90832 526.09168 0.01295
9.99393 15622.00000 15067.08679 554.91321 0.01366
10.00479 15639.00000 15062.26526 576.73474 0.01419
10.01566 15634.00000 15057.44373 576.55627 0.01419
10.02653 15703.00000 15052.62220 650.37780 0.01601
10.03739 15634.00000 15047.80067 586.19933 0.01443
10.04826 15467.00000 15042.97914 424.02086 0.01044
10.05913 15543.00000 15038.15761 504.84239 0.01243
10.06999 15518.00000 15033.33609 484.66391 0.01193
10.08086 15759.00000 15028.51456 730.48544 0.01798
10.09173 15631.00000 15023.69305 607.30695 0.01495
10.10259 15812.00000 15018.87153 793.12847 0.01952
10.11346 15733.00000 15014.05002 718.94998 0.01769
10.12433 15650.00000 15009.22851 640.77149 0.01577
10.13519 15603.00000 15004.40701 598.59299 0.01473
10.14606 15705.00000 14999.58552 705.41448 0.01736
10.15692 15784.00000 14994.76404 789.23596 0.01942
10.16779 15646.00000 14989.94256 656.05744 0.01615
10.17866 15561.00000 14985.12109 575.87891 0.01417
10.18952 15480.00000 14980.29964 499.70036 0.01230
10.20039 15275.00000 14975.47820 299.52180 0.00737
10.21126 15429.00000 14970.65677 458.34323 0.01128
10.22212 15386.00000 14965.83536 420.16464 0.01034
10.23299 15424.00000 14961.01396 462.98604 0.01139
10.24386 15864.00000 14956.19258 907.80742 0.02234
10.25472 15582.00000 14951.37122 630.62878 0.01552
10.26559 15541.00000 14946.54988 594.45012 0.01463
10.27646 15757.00000 14941.72856 815.27144 0.02007
10.28732 15441.00000 14936.90727 504.09273 0.01241
10.29819 15688.00000 14932.08600 755.91400 0.01860
10.30905 15492.00000 14927.26476 564.73524 0.01390
10.31992 15442.00000 14922.44355 519.55645 0.01279
10.33079 15395.00000 14917.62237 477.37763 0.01175
10.34165 15524.00000 14912.80122 611.19878 0.01504
10.35252 15670.00000 14907.98011 762.01989 0.01875
10.36339 15816.00000 14903.15904 912.84096 0.02247
10.37425 15552.00000 14898.33801 653.66199 0.01609
10.38512 15598.00000 14893.51701 704.48299 0.01734
10.39599 15509.00000 14888.69607 620.30393 0.01527
10.40685 15600.00000 14883.87517 716.12483 0.01763
10.41772 15420.00000 14879.05431 540.94569 0.01331
10.42859 15380.00000 14874.23351 505.76649 0.01245
10.43945 15660.00000 14869.41277 790.58723 0.01946
10.45032 15620.00000 14864.59208 755.40792 0.01859
10.46118 15540.00000 14859.77144 680.22856 0.01674
10.47205 15375.00000 14854.95088 520.04912 0.01280
10.48292 15351.00000 14850.13037 500.86963 0.01233
10.49378 15369.00000 14845.30994 523.69006 0.01289
10.50465 15351.00000 14840.48957 510.51043 0.01256
