# 2theta	intensity	baseline	bg_subtracted	normalized
10.03150 15965.00000 15544.94567 420.05433 0.00926
10.04236 16156.00000 15539.22434 616.77566 0.01360
10.05323 16119.00000 15533.50301 585.49699 0.01291
10.06410 15924.00000 15527.78169 396.21831 0.00873
10.07496 15924.00000 15522.06036 401.93964 0.00886
10.08583 15775.00000 15516.33904 258.66096 0.00570
10.09670 16167.00000 15510.61773 656.38227 0.01447
10.10756 15939.00000 15504.89643 434.10357 0.00957
10.11843 15999.00000 15499.17514 499.82486 0.01102
10.12930 15916.00000 15493.45387 422.54613 0.00931
10.14016 15992.00000 15487.73262 504.26738 0.01112
10.15103 15870.00000 15482.01140 387.98860 0.00855
10.16189 15820.00000 15476.29021 343.70979 0.00758
10.17276 15990.00000 15470.56905 519.43095 0.01145
10.18363 15772.00000 15464.84794 307.15206 0.00677
10.19449 15883.00000 15459.12688 423.87312 0.00934
10.20536 15734.00000 15453.40587 280.59413 0.00619
10.21623 15797.00000 15447.68493 349.31507 0.00770
10.22709 16092.00000 15441.96406 650.03594 0.01433
10.23796 15820.00000 15436.24327 383.75673 0.00846
10.24883 15978.00000 15430.52256 547.47744 0.01207
10.25969 15912.00000 15424.80195 487.19805 0.01074
10.27056 15818.00000 15419.08145 398.91855 0.00879
10.28143 15951.00000 15413.36106 537.63894 0.01185
10.29229 15809.00000 15407.64079 401.35921 0.00885
10.30316 16117.00000 15401.92066 715.07934 0.01576
10.31403 15615.00000 15396.20068 218.79932 0.00482
10.32489 15930.00000 15390.48086 539.51914 0.01189
10.33576 15744.00000 15384.76121 359.23879 0.00792
10.34662 15544.00000 15379.04175 164.95825 0.00364
10.35749 15939.00000 15373.32248 565.67752 0.01247
10.36836 15662.00000 15367.60342 294.39658 0.00649
10.37922 15756.00000 15361.88459 394.11541 0.00869
10.39009 15738.00000 15356.16600 381.83400 0.00842
10.40096 15788.00000 15350.44766 437.55234 0.00965
10.41182 15863.00000 15344.72958 518.27042 0.01142
10.42269 15904.00000 15339.01179 564.98821 0.01245
10.43356 15762.00000 15333.29430 428.70570 0.00945
10.44442 15659.00000 15327.57712 331.42288 0.00731
10.45529 15797.00000 15321.86028 475.13972 0.01047
10.46616 15729.00000 15316.14378 412.85622 0.00910
10.47702 15627.00000 15310.42765 316.57235 0.00698
10.48789 15768.00000 15304.71191 463.28809 0.01021
10.49875 16029.00000 15298.99656 730.00344 0.01609
10.50962 15390.00000 15293.28165 96.71835 0.00213
10.52049 15869.00000 15287.56717 581.43283 0.01282
10.53135 15616.00000 15281.85315 334.14685 0.00737
10.54222 15755.00000 15276.13961 478.86039 0.01056
10.55309 15610.00000 15270.42658 339.57342 0.00749
10.56395 15584.00000 15264.71407 319.28593 0.00704
10.57482 15742.00000 15259.00210 482.99790 0.01065
10.58569 15431.00000 15253.29070 177.70930 0.00392
10.59655 15523.00000 15247.57988 275.42012 0.00607
10.60742 15403.00000 15241.86968 161.13032 0.00355
10.61829 15482.00000 15236.16011 245.83989 0.00542
10.62915 15583.00000 15230.45119 352.54881 0.00777
10.64002 15548.00000 15224.74296 323.25704 0.00713
10.65088 15597.00000 15219.03542 377.96458 0.00833
10.66175 15665.00000 15213.32861 451.67139 0.00996
10.67262 15620.00000 15207.62255 412.37745 0.00909
10.68348 15736.00000 15201.91727 534.08273 0.01177
10.69435 15606.00000 15196.21279 409.78721 0.00903
10.70522 15475.00000 15190.50912 284.49088 0.00627
10.71608 15665.00000 15184.80632 480.19368 0.01059
10.72695 15709.00000 15179.10438 529.89562 0.01168
10.73782 15592.00000 15173.40335 418.59665 0.00923
10.74868 15543.00000 15167.70325 375.29675 0.00827
10.75955 15407.00000 15162.00411 244.99589 0.00540
10.77042 15745.00000 15156.30596 588.69404 0.01298
10.78128 15400.00000 15150.60882 249.39118 0.00550
10.79215 15456.00000 15144.91272 311.08728 0.00686
10.80301 15504.00000 15139.21770 364.78230 0.00804
10.81388 15480.00000 15133.52377 346.47623 0.00764
10.82475 15662.00000 15127.83098 534.16902 0.01178
10.83561 15400.00000 15122.13935 277.86065 0.00613
10.84648 15439.00000 15116.44892 322.55108 0.00711
10.85735 15464.00000 15110.75970 353.24030 0.00779
10.86821 15441.00000 15105.07174 335.92826 0.00741
10.87908 15505.00000 15099.38506 405.61494 0.00894
10.88995 15089.00000 15093.69971 -4.69971 -0.00010
10.90081 15411.00000 15088.01570 322.98430 0.00712
10.91168 15223.00000 15082.33303 140.66697 0.00310
10.92255 15484.00000 15076.65168 407.34832 0.00898
10.93341 15389.00000 15070.97163 318.02837 0.00701
10.94428 15568.00000 15065.29288 502.70712 0.01108
10.95514 15350.00000 15059.61541 290.38459 0.00640
10.96601 15279.00000 15053.93920 225.06080 0.00496
10.97688 15495.00000 15048.26425 446.73575 0.00985
10.98774 15289.00000 15042.59054 246.40946 0.00543
10.99861 15503.00000 15036.91805 466.08195 0.01027
11.00948 15398.00000 15031.24679 366.75321 0.00808
11.02034 15422.00000 15025.57673 396.42327 0.00874
11.03121 15450.00000 15019.90787 430.09213 0.00948
11.04208 15545.00000 15014.24019 530.75981 0.01170
11.05294 15322.00000 15008.57368 313.42632 0.00691
11.06381 15458.00000 15002.90834 455.09166 0.01003
11.07468 15516.00000 14997.24416 518.75584 0.01144
11.08554 15243.00000 14991.58112 251.41888 0.00554
11.09641 15608.00000 14985.91922 622.08078 0.01371
11.10728 15468.00000 14980.25845 487.74155 0.01075
11.11814 15379.00000 14974.59881 404.40119 0.00891
11.12901 15114.00000 14968.94028 145.05972 0.00320
11.13987 15383.00000 14963.28285 419.71715 0.00925
11.15074 15402.00000 14957.62654 444.37346 0.00980
11.16161 15232.00000 14951.97132 280.02868 0.00617
11.17247 15126.00000 14946.31719 179.68281 0.00396
11.18334 15359.00000 14940.66414 418.33586 0.00922
11.19421 15333.00000 14935.01218 397.98782 0.00877
11.20507 15260.00000 14929.36130 330.63870 0.00729
11.21594 15315.00000 14923.71148 391.28852 0.00863
11.22681 15455.00000 14918.06274 536.93726 0.01184
11.23767 15276.00000 14912.41506 363.58494 0.00801
11.24854 15391.00000 14906.76844 484.23156 0.01067
11.25941 15126.00000 14901.12288 224.87712 0.00496
11.27027 15444.00000 14895.47838 548.52162 0.01209
11.28114 15250.00000 14889.83493 360.16507 0.00794
11.29200 15227.00000 14884.19254 342.80746 0.00756
11.30287 15093.00000 14878.55119 214.44881 0.00473
11.31374 15243.00000 14872.91091 370.08909 0.00816
11.32460 15239.00000 14867.27167 371.72833 0.00819
11.33547 15233.00000 14861.63348 371.36652 0.00819
11.34634 15364.00000 14855.99635 508.00365 0.01120
11.35720 15266.00000 14850.36027 415.63973 0.00916
11.36807 15373.00000 14844.72524 528.27476 0.01165
11.37894 15012.00000 14839.09127 172.90873 0.00381
11.38980 15042.00000 14833.45835 208.54165 0.00460
11.40067 15117.00000 14827.82649 289.17351 0.00637
11.41154 15179.00000 14822.19570 356.80430 0.00787
11.42240 15143.00000 14816.56597 326.43403 0.00720
